"","X","Y","TP","TN","NTU","Sample","Flow"
"1055",12855.5833333333,1,0.028,0.49,14.3,"R",4.09
"1056",12872.5833333333,1,0.024,0.53,12.7,"S",4.54
"1057",12883.5833333333,1,0.036,0.52,14.3,"R",1.28
"1058",12900.5833333333,1,0.022,0.44,8.4,"S",0.21
"1059",12912.5833333333,1,0.02,0.41,8.2,"R",0.03
"1060",12926.5833333333,1,0.019,0.48,7.4,"S",4.13
"1061",12941.5833333333,1,0.019,0.38,6.5,"R",2.51
"1062",12956.5833333333,1,0.015,0.37,4.9,"S",1.82
"1063",12965.0104166667,1,0.193,1.53,153,"C",23.86
"1064",12966.5833333333,1,0.092,1.43,62.8,"R",31.93
"1091",12974.0208333333,1,NA,NA,20.9,"A",8.51
"1092",12974.1458333333,1,NA,NA,36.5,"A",10.57
"1093",12974.2708333333,1,NA,NA,47.7,"A",10.57
"1094",12974.3958333333,1,NA,NA,30.6,"A",10.5
"1095",12974.5208333333,1,NA,NA,27.3,"A",10.74
"1096",12974.6458333333,1,NA,NA,22.7,"A",11.15
"1097",12974.7708333333,1,NA,NA,33.1,"A",12.39
"1098",12974.8958333333,1,NA,NA,27.4,"A",14.94
"1099",12975.0208333333,1,NA,NA,23.3,"A",16.12
"1100",12975.1458333333,1,NA,NA,26.4,"A",15.89
"1101",12975.2708333333,1,NA,NA,25.6,"A",15.12
"1102",12975.3958333333,1,NA,NA,32.9,"A",14.31
"1103",12975.5208333333,1,NA,NA,30,"A",14.07
"1104",12975.6458333333,1,NA,NA,27.9,"A",14.04
"1105",12975.7708333333,1,NA,NA,27.9,"A",14.12
"1106",12975.8958333333,1,NA,NA,25.9,"A",14.13
"1107",12976.0208333333,1,NA,NA,24.6,"A",14.63
"1108",12976.1458333333,1,NA,NA,17.6,"A",15.35
"1109",12976.2708333333,1,NA,NA,24.3,"A",15.39
"1110",12976.3958333333,1,NA,NA,23.3,"A",14.91
"1111",12976.5208333333,1,NA,NA,25,"A",14.28
"1112",12976.6458333333,1,NA,NA,25.1,"A",13.56
"1113",12976.7708333333,1,NA,NA,26.6,"A",13.24
"1114",12976.8958333333,1,NA,NA,28.8,"A",18.57
"1115",12982.1875,1,0.089,0.85,31.2,"C",7.47
"1116",12984.5833333333,1,0.025,0.83,9.6,"S",6.21
"1117",12996.5833333333,1,0.025,0.55,7.6,"R",5.25
"1118",13012.5833333333,1,0.027,0.43,10.2,"S",4.63
"1119",13024.5833333333,1,0.029,0.45,8.7,"R",2.4
"1120",13047.5833333333,1,0.024,0.43,7.2,"S",2.75
"1121",13053.5833333333,1,0.032,0.7,12.3,"R",5.03
"1124",13059.1666666667,1,0.057,1.16,NA,"W",7.11
"1125",13069.5833333333,1,0.028,0.58,12.3,"S",4.83
"1126",13080.8958333333,1,0.029,0.52,10.9,"R",3.97
"1127",13117.15625,1,0.01,0.4,18.2,"R",9.12
"1130",13119.0625,1,NA,NA,42.1,"A",21.96
"1133",13119.0833333333,1,NA,NA,38,"A",21.75
"1136",13119.1041666667,1,NA,NA,69.8,"A",21.47
"1139",13119.125,1,NA,NA,57.1,"A",21.22
"1140",13119.1354166667,1,NA,NA,42.8,"A",21.13
"1141",13119.1979166667,1,0.04,0.8,28.1,"R",20.31
"1142",13119.3020833333,1,NA,NA,40.4,"A",18.88
"1143",13119.5520833333,1,NA,NA,57,"A",17.34
"1144",13119.8020833333,1,NA,NA,46.4,"A",16.11
"1145",13120.0520833333,1,NA,NA,35.4,"A",19.63
"1146",13120.3020833333,1,NA,NA,36,"A",28.64
"1147",13120.5520833333,1,NA,NA,49.6,"A",43.61
"1148",13120.8020833333,1,NA,NA,65.9,"A",39.36
"1149",13121.0520833333,1,NA,NA,93.7,"A",37.12
"1150",13121.3020833333,1,NA,NA,52.1,"A",34.71
"1151",13121.5520833333,1,NA,NA,75.2,"A",30.6
"1152",13121.8020833333,1,NA,NA,44.1,"A",27.5
"1153",13146.21875,1,0.01,0.3,10.2,"R",0.59
"1154",13147.2395833333,1,0.01,0.5,27.2,"A",0.54
"1155",13147.53125,1,NA,NA,26.9,"C",0.46
"1156",13164.40625,1,NA,NA,39.1,"A",12.74
"1157",13164.53125,1,NA,NA,105,"A",20.38
"1158",13164.65625,1,NA,NA,54.4,"A",83.46
"1159",13164.78125,1,0.17,1.6,410,"A",91.58
"1160",13164.90625,1,NA,NA,776,"A",164.41
"1161",13165.03125,1,0.06,0.8,983,"A",163.44
"1162",13165.15625,1,NA,NA,999,"A",123.2
"1163",13165.28125,1,0.03,0.9,736,"A",106.11
"1164",13165.40625,1,NA,NA,563,"A",124.08
"1165",13165.53125,1,0.21,1.8,644,"A",134.2
"1166",13165.5833333333,1,0.1,1.6,181,"R",132.73
"1167",13165.65625,1,NA,NA,700,"A",127.02
